,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
5827,31,technician,279,yes,no,unknown,may,1,-1,other,0
6786,33,management,0,no,no,unknown,may,2,-1,other,0
3748,30,management,7,yes,no,cellular,aug,1,164,other,1
3245,33,blue-collar,1402,no,no,cellular,nov,5,-1,other,0
5027,54,unemployed,895,no,no,cellular,oct,1,-1,other,1
2383,41,admin,982,no,no,cellular,jul,1,-1,other,0
3867,32,admin,653,no,no,cellular,jun,1,-1,other,1
4103,41,management,3872,no,no,cellular,oct,1,-1,other,0
966,48,admin,112,no,no,cellular,aug,5,-1,other,0
2217,37,services,278,yes,no,unknown,jun,3,-1,other,1
6982,62,unemployed,3,no,no,cellular,aug,1,-1,other,0
5023,39,blue-collar,785,yes,no,cellular,may,2,-1,other,1
6787,31,unemployed,140,yes,no,telephone,may,2,-1,other,0
1362,30,technician,151,no,no,cellular,feb,2,-1,other,0
912,62,blue-collar,180,no,no,cellular,apr,2,-1,other,1
1913,38,management,4174,no,no,cellular,oct,2,184,failure,1
680,31,blue-collar,2194,no,no,cellular,may,2,357,other,0
308,36,unemployed,417,no,no,cellular,feb,1,-1,other,1
1261,36,admin,148,yes,no,cellular,may,4,374,failure,1
4765,48,management,308,yes,no,cellular,jul,5,-1,other,0
1891,53,management,597,no,no,unknown,feb,1,-1,other,1
6645,49,admin,880,yes,yes,cellular,may,3,-1,other,0
4333,32,management,17,no,no,cellular,aug,4,-1,other,0
1514,30,technician,4060,no,no,cellular,feb,1,93,other,1
2964,48,blue-collar,-314,yes,no,cellular,may,5,-1,other,0
7416,39,management,494,no,no,cellular,mar,2,478,failure,1
5120,47,services,2597,yes,no,unknown,may,1,-1,other,0
3101,39,admin,732,no,no,cellular,apr,4,-1,other,1
2457,25,blue-collar,17,yes,no,unknown,may,2,-1,other,0
3763,66,management,2149,yes,no,cellular,may,2,90,success,1
1732,36,technician,911,yes,yes,cellular,may,3,-1,other,0
206,30,blue-collar,132,yes,no,unknown,may,1,-1,other,0
945,43,blue-collar,0,no,no,unknown,may,3,-1,other,0
6249,38,blue-collar,4592,yes,no,cellular,may,1,-1,other,0
5216,36,technician,197,no,no,cellular,apr,1,-1,other,1
6988,49,blue-collar,2356,no,yes,telephone,jul,2,-1,other,0
2805,30,management,1299,no,no,cellular,aug,2,-1,other,0
1766,54,unemployed,3611,yes,no,cellular,feb,1,-1,other,0
6052,26,management,222,no,no,cellular,oct,1,120,success,1
1628,58,management,2155,no,yes,cellular,feb,2,92,success,1
699,27,technician,337,no,no,unknown,jul,1,-1,other,1
6311,52,management,7192,no,no,cellular,aug,1,-1,other,1
1388,29,blue-collar,975,yes,no,unknown,may,2,-1,other,0
7076,41,blue-collar,1384,yes,no,unknown,may,4,-1,other,1
7227,60,unemployed,0,yes,no,unknown,may,1,-1,other,0
413,55,blue-collar,781,yes,no,cellular,feb,3,270,failure,0
4496,39,technician,15,yes,no,cellular,apr,1,-1,other,1
1287,32,management,1088,yes,no,cellular,apr,1,363,success,1
7042,63,unemployed,1490,no,no,cellular,jun,1,-1,other,1
1962,36,management,2161,no,no,cellular,sep,2,183,success,1
6812,40,management,257,no,no,cellular,feb,1,209,failure,0
6805,26,blue-collar,246,yes,no,unknown,may,3,-1,other,1
6216,47,blue-collar,292,no,yes,telephone,jul,3,-1,other,0
6327,57,unemployed,466,no,no,cellular,aug,2,-1,other,1
6715,44,management,3665,no,no,cellular,mar,1,-1,other,0
7656,60,unemployed,935,no,no,cellular,jul,17,-1,other,0
959,69,unemployed,324,no,no,cellular,aug,1,189,success,0
936,36,management,538,no,no,cellular,jun,1,183,success,1
4646,45,admin,967,no,no,unknown,jun,1,-1,other,0
4642,28,management,1825,no,no,cellular,mar,1,-1,other,1
5379,33,technician,66,no,no,cellular,jun,2,-1,other,1
325,39,management,3518,yes,no,cellular,may,1,-1,other,0
4302,47,blue-collar,4227,yes,no,cellular,may,1,-1,other,1
1890,35,unemployed,2080,yes,no,telephone,apr,3,-1,other,0
3347,46,blue-collar,7934,yes,no,unknown,may,1,-1,other,0
3151,19,unemployed,394,no,no,cellular,apr,3,-1,other,1
1880,42,blue-collar,205,yes,no,cellular,apr,1,-1,other,0
5198,64,unemployed,4787,no,no,cellular,apr,1,182,success,1
7187,51,unemployed,67,no,no,unknown,jun,1,-1,other,1
3473,38,services,92,yes,yes,unknown,may,3,-1,other,0
1224,46,technician,4023,yes,no,cellular,aug,2,-1,other,0
1577,33,technician,2362,yes,no,cellular,aug,4,-1,other,0
3060,32,blue-collar,121,yes,no,cellular,nov,1,-1,other,1
7628,40,management,294,yes,no,cellular,jul,5,-1,other,0
433,23,services,870,no,no,cellular,jul,4,-1,other,1
3179,41,unemployed,942,no,no,cellular,apr,1,-1,other,1
1115,29,admin,261,no,no,cellular,mar,19,-1,other,0
2766,47,admin,2601,no,no,cellular,sep,1,-1,other,1
7716,77,unemployed,4659,no,no,cellular,apr,1,-1,other,1
7607,61,technician,6481,no,no,cellular,oct,1,-1,other,1
1679,33,management,1412,yes,no,unknown,aug,1,-1,other,1
1384,28,management,22,yes,no,cellular,jul,3,-1,other,0
2987,58,technician,3399,no,no,cellular,may,1,97,other,1
7550,31,self-employed,1134,no,no,cellular,feb,2,-1,other,0
2963,23,unemployed,151,yes,no,unknown,may,1,-1,other,0
5929,38,management,5432,yes,yes,cellular,apr,1,149,failure,0
5154,57,admin,658,no,no,cellular,jul,1,-1,other,1
7799,33,management,0,yes,yes,cellular,may,2,-1,other,0
6459,71,unemployed,3,no,no,cellular,aug,3,189,other,0
6972,39,services,2460,no,no,cellular,jul,3,-1,other,0
645,36,technician,160,yes,no,unknown,may,1,-1,other,0
3737,37,blue-collar,197,yes,no,unknown,may,3,-1,other,0
6465,32,management,4291,no,no,cellular,aug,9,-1,other,1
5869,53,services,0,no,no,unknown,jun,8,-1,other,0
5796,38,self-employed,0,yes,no,cellular,apr,1,-1,other,0
1170,30,admin,2568,no,no,cellular,sep,1,100,other,1
7348,31,services,181,no,no,cellular,apr,1,-1,other,1
5515,45,self-employed,112,no,no,unknown,jun,4,-1,other,0
6653,29,unemployed,2929,no,no,cellular,may,1,89,other,1
4568,49,entrepreneur,5802,no,no,cellular,apr,2,-1,other,1
453,38,blue-collar,2467,no,no,cellular,jun,1,-1,other,1
7803,31,admin,54,yes,no,cellular,nov,1,-1,other,0
2120,32,services,689,yes,yes,cellular,jun,3,-1,other,1
2689,36,blue-collar,49,yes,no,cellular,may,2,365,other,0
1059,44,self-employed,2734,yes,no,cellular,may,4,-1,other,1
4372,51,technician,196,yes,yes,cellular,feb,1,-1,other,1
7673,54,blue-collar,-473,yes,no,cellular,may,1,351,failure,0
4779,51,services,122,no,yes,cellular,aug,2,-1,other,0
1915,39,blue-collar,34,yes,no,unknown,may,1,-1,other,0
3034,55,management,2383,no,no,cellular,aug,2,63,success,1
1142,45,admin,2552,no,no,cellular,jun,1,293,failure,1
5756,38,admin,4874,no,no,unknown,jun,3,-1,other,0
6668,45,admin,1214,yes,no,cellular,feb,2,189,failure,0
5281,39,management,0,yes,no,cellular,jul,21,-1,other,0
2446,46,blue-collar,219,yes,no,cellular,nov,1,-1,other,1
5234,30,blue-collar,457,yes,no,unknown,jun,20,-1,other,0
4186,26,unemployed,632,no,no,cellular,aug,3,181,success,1
7374,36,technician,15485,no,no,cellular,apr,1,-1,other,1
5342,33,admin,17,yes,no,cellular,may,1,351,failure,0
2696,41,services,879,no,no,unknown,jun,2,-1,other,1
6361,37,unemployed,1032,no,no,telephone,feb,1,-1,other,0
3648,57,management,256,no,no,cellular,jun,2,91,success,1
5584,46,unemployed,594,no,no,cellular,feb,2,-1,other,0
4483,41,admin,2002,yes,no,cellular,may,2,350,failure,0
1208,49,management,1904,no,yes,cellular,nov,2,-1,other,0
3611,56,self-employed,411,no,no,unknown,jun,4,-1,other,0
5866,37,services,0,yes,no,cellular,jul,4,-1,other,0
4863,27,services,302,no,no,cellular,jul,1,-1,other,1
4876,34,admin,557,no,no,cellular,nov,1,-1,other,1
7756,32,blue-collar,1879,no,no,cellular,feb,8,-1,other,1
7535,49,blue-collar,3728,yes,no,cellular,jul,2,-1,other,1
4427,36,technician,2823,yes,no,cellular,jun,1,371,failure,1
1765,35,blue-collar,293,yes,no,cellular,apr,1,325,other,1
6806,33,technician,522,no,yes,cellular,jul,4,-1,other,0
3219,45,technician,351,yes,no,telephone,aug,2,-1,other,0
6409,36,management,-115,yes,no,cellular,apr,4,182,other,1
4437,33,admin,598,yes,no,unknown,may,1,-1,other,0
3597,30,technician,863,yes,no,unknown,may,5,-1,other,1
3779,29,management,428,no,no,cellular,may,2,-1,other,1
7580,35,management,688,no,no,cellular,feb,1,-1,other,0
5353,33,blue-collar,-253,yes,no,cellular,may,3,-1,other,0
2306,47,blue-collar,126,yes,no,unknown,jun,2,-1,other,1
2242,54,management,602,no,no,cellular,jul,2,-1,other,0
6347,28,technician,676,no,no,cellular,feb,2,-1,other,1
6221,45,admin,153,no,no,cellular,aug,1,-1,other,1
1326,59,blue-collar,625,no,no,cellular,jul,1,-1,other,0
3668,59,admin,92,yes,no,cellular,may,2,350,failure,0
5437,86,unemployed,157,no,no,telephone,sep,1,-1,other,0
2350,60,blue-collar,92,yes,no,unknown,jun,3,-1,other,0
1598,37,admin,597,no,no,cellular,jun,1,-1,other,1
114,51,entrepreneur,726,yes,yes,cellular,apr,2,-1,other,0
2047,49,blue-collar,408,no,no,cellular,aug,4,-1,other,1
7798,53,management,13901,yes,no,cellular,nov,1,-1,other,0
3919,45,blue-collar,0,yes,no,cellular,oct,1,165,failure,0
17,30,services,0,no,no,cellular,jan,1,-1,other,0
62,44,blue-collar,2,no,yes,telephone,jul,2,-1,other,0
2058,59,unemployed,574,no,no,cellular,aug,6,-1,other,0
5949,40,management,205,no,no,cellular,jul,1,-1,other,0
536,52,blue-collar,2087,yes,no,cellular,aug,1,474,failure,1
7741,32,unemployed,2996,yes,no,unknown,may,1,-1,other,0
5733,40,technician,503,yes,no,unknown,may,3,-1,other,0
5108,42,admin,0,yes,no,unknown,may,2,-1,other,0
6625,35,services,377,no,yes,cellular,jul,13,-1,other,0
3390,34,blue-collar,-1,yes,no,cellular,may,6,355,other,1
6582,28,technician,0,yes,no,cellular,may,1,40,failure,1
1225,51,admin,0,yes,yes,cellular,mar,2,-1,other,1
27,52,admin,204,no,no,cellular,aug,2,-1,other,0
7369,42,technician,248,no,no,cellular,aug,4,-1,other,0
3838,29,management,941,yes,no,unknown,jun,11,-1,other,0
3727,52,unemployed,5361,no,no,cellular,aug,3,-1,other,1
967,38,management,399,yes,no,cellular,aug,4,-1,other,0
4866,27,unemployed,771,no,no,cellular,oct,1,302,other,1
127,30,admin,8781,yes,no,cellular,nov,1,-1,other,1
702,43,admin,616,yes,no,unknown,may,2,-1,other,0
449,60,technician,367,no,no,cellular,aug,2,-1,other,1
86,60,unemployed,2060,no,no,cellular,jun,4,95,failure,0
4053,65,admin,952,no,no,cellular,sep,1,96,success,1
3579,39,services,-311,yes,no,cellular,may,2,345,other,0
4038,59,blue-collar,0,yes,no,unknown,may,1,-1,other,0
4722,34,management,303,yes,no,cellular,jan,1,195,failure,0
2587,39,blue-collar,1307,yes,no,telephone,oct,1,-1,other,1
6479,41,blue-collar,2453,yes,no,unknown,may,1,-1,other,1
3652,29,blue-collar,348,yes,no,unknown,may,2,-1,other,0
3156,26,admin,1099,no,no,cellular,jan,2,225,other,0
2278,51,services,1093,no,yes,unknown,jun,1,-1,other,0
5107,42,technician,11115,no,no,cellular,aug,1,102,success,1
5273,40,management,0,no,no,cellular,jul,5,-1,other,0
4791,60,blue-collar,228,yes,no,unknown,may,11,-1,other,0
4150,30,management,2876,no,no,cellular,aug,4,-1,other,0
4822,35,technician,515,yes,yes,cellular,aug,3,-1,other,0
2667,61,unemployed,1257,no,no,cellular,feb,1,-1,other,1
5438,51,services,1613,no,no,cellular,aug,1,-1,other,1
3523,27,services,54,yes,no,unknown,may,2,-1,other,1
7428,49,services,947,no,no,unknown,jun,2,-1,other,1
19,46,management,242,no,no,cellular,aug,2,96,success,1
2555,37,blue-collar,1590,no,no,unknown,jun,2,-1,other,0
5774,49,technician,1071,no,no,cellular,jun,1,-1,other,1
2817,42,blue-collar,1297,yes,no,cellular,apr,2,-1,other,0
5444,36,admin,994,no,no,cellular,may,1,90,success,1
7038,36,management,133,yes,no,unknown,may,1,-1,other,0
6414,51,unemployed,1801,no,no,cellular,apr,3,-1,other,1
4036,31,services,1629,yes,no,unknown,may,2,-1,other,0
1482,36,blue-collar,1127,yes,no,cellular,jul,1,-1,other,0
7562,40,services,1305,no,no,cellular,jul,1,-1,other,0
6188,35,management,1162,no,no,cellular,apr,1,-1,other,1
893,34,services,-374,yes,no,cellular,may,1,-1,other,1
5895,38,management,76,no,no,cellular,mar,1,-1,other,1
7089,30,technician,1289,yes,no,unknown,may,2,-1,other,1
3632,45,management,2671,no,no,cellular,aug,4,-1,other,1
4895,29,blue-collar,339,yes,no,cellular,may,3,354,failure,0
4058,32,technician,696,no,yes,cellular,aug,4,105,failure,0
4802,41,blue-collar,3,yes,no,cellular,jul,4,-1,other,0
3387,46,management,2817,no,no,cellular,sep,1,-1,other,1
2206,33,technician,2044,yes,no,cellular,may,3,-1,other,1
6605,39,management,1585,yes,no,cellular,jan,2,-1,other,0
5914,45,admin,5511,no,no,cellular,jul,1,-1,other,1
1801,38,technician,1711,no,no,telephone,sep,1,-1,other,1
6060,40,admin,27,no,no,cellular,aug,2,-1,other,1
2460,37,management,1594,yes,no,cellular,apr,1,260,failure,0
1231,50,services,218,yes,no,unknown,may,2,-1,other,0
2976,40,admin,220,yes,no,cellular,may,2,-1,other,0
2202,55,management,655,no,no,cellular,jul,6,-1,other,0
182,58,unemployed,0,no,no,cellular,aug,1,-1,other,0
37,64,unemployed,1612,no,no,cellular,may,1,89,failure,1
4541,31,admin,368,yes,no,cellular,may,5,361,other,0
6276,29,management,-11,yes,no,cellular,may,2,-1,other,0
2967,40,blue-collar,1066,yes,no,unknown,may,1,-1,other,0
3440,29,blue-collar,9,yes,no,cellular,may,3,-1,other,0
5887,29,unemployed,550,no,no,cellular,jan,1,-1,other,1
2540,56,technician,589,yes,no,unknown,may,2,-1,other,1
7363,85,unemployed,98,no,no,cellular,apr,1,-1,other,1
3200,25,blue-collar,2483,no,no,cellular,jul,3,-1,other,1
7583,27,blue-collar,416,yes,no,unknown,may,2,-1,other,1
5588,29,management,307,yes,no,cellular,jun,1,-1,other,1
1488,52,technician,2557,no,no,cellular,jul,1,156,other,1
7632,52,services,108,yes,no,unknown,may,12,-1,other,0
2784,34,services,295,yes,yes,cellular,jul,1,-1,other,0
3371,25,admin,654,no,no,cellular,apr,1,-1,other,0
7750,57,unemployed,-157,no,no,cellular,aug,9,-1,other,0
4562,42,blue-collar,0,yes,yes,cellular,may,2,-1,other,0
3195,28,blue-collar,1020,yes,no,unknown,may,1,-1,other,0
6195,30,admin,313,yes,no,cellular,feb,2,-1,other,1
1328,29,self-employed,3290,no,no,cellular,mar,1,291,success,1
6755,25,admin,131,yes,yes,unknown,may,1,-1,other,0
6741,40,services,795,yes,no,unknown,may,3,-1,other,0
5616,34,admin,140,yes,no,cellular,may,2,365,failure,0
4135,36,services,145,yes,no,cellular,feb,1,252,other,0
2710,53,blue-collar,0,yes,no,cellular,may,2,-1,other,0
4439,33,technician,2565,yes,no,cellular,may,2,-1,other,0
7594,42,management,254,no,no,cellular,dec,7,183,success,1
6810,55,management,3848,yes,no,cellular,apr,2,-1,other,1
3514,54,management,-449,yes,no,cellular,may,1,-1,other,1
3214,37,admin,0,yes,no,cellular,dec,1,190,success,1
1218,59,unemployed,-341,no,yes,cellular,jul,3,-1,other,0
2727,43,blue-collar,2160,no,no,cellular,jun,1,-1,other,1
1908,37,services,187,no,no,unknown,jun,1,-1,other,0
5567,38,services,70,no,no,cellular,jun,1,-1,other,1
2032,52,management,31,no,no,cellular,mar,1,-1,other,1
2497,38,technician,565,yes,no,cellular,apr,1,-1,other,1
6942,49,admin,10250,yes,no,telephone,oct,1,-1,other,1
4246,57,unemployed,519,yes,no,unknown,jun,3,-1,other,0
2821,35,management,53,yes,no,cellular,nov,1,-1,other,0
7244,26,management,3944,yes,no,cellular,may,2,-1,other,1
3043,35,unemployed,415,no,no,cellular,may,2,89,success,1
7556,58,technician,589,yes,no,cellular,feb,3,183,success,1
1213,32,management,769,no,no,cellular,aug,2,-1,other,1
6695,48,blue-collar,343,no,no,unknown,jun,1,-1,other,0
7512,34,management,611,no,no,cellular,jun,1,-1,other,1
7240,31,management,1308,no,no,cellular,aug,3,-1,other,0
3689,48,blue-collar,430,no,no,cellular,may,3,371,failure,0
6656,31,management,141,yes,no,cellular,feb,2,238,other,1
7459,44,entrepreneur,860,yes,yes,cellular,may,2,295,failure,0
6248,43,management,3578,no,no,cellular,jan,2,-1,other,0
4313,43,management,149,yes,no,unknown,jun,2,-1,other,1
2016,37,unemployed,381,yes,no,unknown,may,2,-1,other,1
7604,29,admin,3794,no,no,cellular,apr,1,-1,other,0
4925,37,management,655,no,yes,cellular,feb,6,-1,other,0
4396,24,unemployed,8165,no,no,cellular,sep,1,-1,other,1
5613,26,blue-collar,396,yes,no,unknown,may,1,-1,other,0
2695,52,entrepreneur,3469,yes,no,cellular,nov,1,-1,other,1
5555,32,admin,184,yes,no,unknown,may,4,-1,other,0
92,55,management,0,no,no,cellular,aug,4,-1,other,1
6146,40,services,84,yes,yes,unknown,jun,7,-1,other,0
4295,24,admin,1235,yes,yes,unknown,may,3,-1,other,0
4663,31,management,0,yes,no,cellular,sep,1,-1,other,0
6355,35,blue-collar,1084,yes,no,cellular,jul,1,-1,other,0
5361,28,management,957,no,no,cellular,may,2,-1,other,1
6211,26,unemployed,1134,no,no,cellular,apr,4,-1,other,1
365,29,technician,940,yes,no,cellular,may,1,330,failure,0
6031,26,technician,855,yes,no,unknown,may,2,-1,other,0
5830,48,admin,1180,no,no,cellular,jan,1,238,other,1
2647,52,self-employed,2289,yes,yes,cellular,nov,1,-1,other,0
6580,39,technician,506,yes,no,cellular,jul,2,-1,other,1
1820,43,blue-collar,18,yes,no,cellular,may,2,370,other,0
6916,40,services,1082,yes,no,unknown,may,2,-1,other,1
4041,40,unemployed,7968,no,no,cellular,mar,2,180,success,1
