,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,default,day,duration,previous,deposit
4684,32,technician,11431,no,no,cellular,aug,5,-1,other,married,secondary,no,12,141,0,0
3922,32,entrepreneur,598,no,no,cellular,aug,6,-1,other,married,tertiary,no,18,135,0,0
5071,28,services,168,yes,no,cellular,may,1,-1,other,single,secondary,no,7,128,0,0
2168,32,management,0,no,no,cellular,aug,4,-1,other,married,secondary,no,20,162,0,0
3049,43,services,43,yes,no,cellular,may,1,-1,other,married,secondary,no,18,199,0,0
1566,46,technician,488,no,no,unknown,jun,1,-1,other,married,secondary,no,5,92,0,0
6624,52,entrepreneur,7,no,no,cellular,jul,5,-1,other,divorced,secondary,no,24,150,0,0
6458,57,unemployed,3754,no,no,cellular,feb,2,-1,other,married,secondary,no,5,1063,0,1
3235,40,blue-collar,137,no,yes,cellular,jul,1,-1,other,married,primary,no,10,214,0,0
2706,34,technician,4367,no,no,cellular,aug,2,-1,other,single,secondary,no,13,121,0,0
512,52,blue-collar,2396,yes,no,cellular,may,7,-1,other,married,primary,no,15,48,0,0
7636,40,blue-collar,1451,no,no,cellular,sep,1,121,success,married,secondary,no,30,117,1,1
6610,52,services,234,no,no,cellular,nov,1,-1,other,married,secondary,no,20,208,0,0
3810,30,management,5359,no,no,cellular,may,1,98,success,single,tertiary,no,27,119,1,1
2475,33,blue-collar,312,yes,no,unknown,jun,2,-1,other,married,secondary,no,4,151,0,0
5720,44,admin,1074,yes,no,cellular,jul,2,-1,other,married,secondary,no,11,911,0,1
1075,31,technician,2744,yes,no,cellular,aug,2,-1,other,single,tertiary,no,8,309,0,0
5930,23,unemployed,794,no,no,cellular,jul,3,171,other,single,secondary,no,26,607,3,1
258,30,entrepreneur,12737,no,yes,cellular,nov,2,-1,other,married,secondary,no,19,589,0,1
4979,38,admin,100,yes,no,unknown,may,1,-1,other,single,secondary,no,7,786,0,1
2634,23,services,279,yes,no,cellular,may,1,370,failure,single,secondary,no,18,843,1,1
7765,74,unemployed,1843,no,no,cellular,mar,1,185,success,married,tertiary,no,15,192,2,1
3012,35,blue-collar,147,yes,no,cellular,may,1,337,failure,married,primary,no,5,358,3,0
1554,39,technician,1355,yes,no,cellular,may,1,-1,other,single,secondary,no,14,1180,0,1
3217,31,admin,879,yes,no,cellular,may,1,-1,other,married,secondary,no,13,394,0,1
4880,75,unemployed,358,no,no,cellular,feb,11,-1,other,married,primary,no,17,364,0,1
3524,29,management,293,yes,no,unknown,may,2,-1,other,single,secondary,no,28,188,0,0
74,35,technician,13658,yes,no,telephone,dec,2,-1,other,married,secondary,no,9,220,0,0
7426,57,unemployed,1044,no,no,telephone,jan,1,192,success,married,secondary,no,11,585,2,1
6323,34,unemployed,428,yes,no,cellular,apr,2,267,other,married,secondary,no,7,221,3,0
554,28,blue-collar,759,yes,no,unknown,may,1,-1,other,single,secondary,no,9,710,0,1
2626,32,management,506,no,no,cellular,mar,2,-1,other,single,tertiary,no,5,63,0,1
6675,45,admin,205,no,no,cellular,aug,1,92,success,married,secondary,no,4,180,3,1
1687,36,management,849,yes,yes,unknown,may,2,-1,other,married,tertiary,no,21,958,0,1
7603,75,unemployed,3881,yes,no,cellular,feb,3,-1,other,divorced,primary,no,4,136,0,1
173,52,technician,475,yes,no,cellular,jul,3,-1,other,married,secondary,no,28,121,0,0
593,52,unemployed,1416,no,no,cellular,sep,3,187,success,married,secondary,no,13,218,3,1
1319,33,services,2918,no,yes,cellular,nov,2,-1,other,married,secondary,no,20,1059,0,1
4783,42,services,302,yes,no,cellular,jul,2,-1,other,married,unknown,no,11,342,0,0
111,34,blue-collar,855,yes,no,cellular,jul,1,-1,other,single,secondary,no,16,578,0,1
7203,42,services,2567,yes,no,unknown,may,2,-1,other,married,primary,no,19,401,0,0
4371,30,technician,1011,yes,no,unknown,may,1,-1,other,married,secondary,no,16,109,0,0
6244,50,management,400,no,no,cellular,aug,2,-1,other,married,tertiary,no,13,343,0,0
2835,51,management,3463,no,yes,cellular,jul,2,166,other,married,tertiary,no,13,371,3,1
445,32,unemployed,1026,yes,no,cellular,may,1,-1,other,single,secondary,no,13,289,0,1
997,33,technician,8,no,no,cellular,aug,2,-1,other,married,secondary,no,29,462,0,0
2303,30,management,2994,yes,no,cellular,mar,1,137,other,married,tertiary,no,26,156,1,0
1568,55,entrepreneur,538,yes,no,cellular,aug,2,-1,other,divorced,secondary,no,7,353,0,1
5445,33,management,576,no,no,cellular,may,1,111,other,single,tertiary,no,25,220,2,0
4951,33,blue-collar,910,yes,no,cellular,apr,1,-1,other,single,primary,no,20,42,0,0
3812,33,blue-collar,139,yes,yes,cellular,may,2,291,failure,married,secondary,no,18,732,5,1
7524,35,technician,1,yes,yes,unknown,may,1,-1,other,married,secondary,no,21,85,0,0
4685,41,admin,224,yes,no,cellular,may,8,-1,other,single,secondary,no,12,22,0,0
4052,32,unemployed,1102,no,no,telephone,oct,1,-1,other,single,secondary,no,8,194,0,1
2223,40,blue-collar,-388,yes,no,cellular,may,3,340,failure,married,primary,no,4,195,1,0
1392,34,admin,79,yes,no,cellular,jul,3,-1,other,single,secondary,no,28,219,0,0
6947,47,technician,157,yes,no,cellular,aug,8,-1,other,divorced,secondary,no,25,163,0,0
3754,72,unemployed,2600,no,no,cellular,feb,2,82,success,married,primary,no,3,443,3,1
1919,60,admin,4629,yes,no,cellular,oct,1,-1,other,married,unknown,no,27,624,0,1
2078,25,self-employed,1182,yes,no,unknown,may,2,-1,other,married,tertiary,no,26,141,0,0
6026,50,blue-collar,204,yes,yes,unknown,may,1,-1,other,divorced,secondary,no,14,421,0,0
7288,26,blue-collar,2669,yes,no,cellular,apr,1,-1,other,single,secondary,no,16,242,0,0
2842,36,management,925,no,no,cellular,dec,3,189,success,married,tertiary,no,14,321,4,1
859,30,management,1195,no,no,cellular,jul,2,-1,other,married,tertiary,no,18,146,0,0
6523,59,admin,106,no,no,cellular,may,1,-1,other,married,secondary,no,22,186,0,1
4972,39,technician,175,no,yes,unknown,jun,2,-1,other,single,secondary,no,16,757,0,0
1047,46,management,5559,no,no,unknown,jun,1,-1,other,married,secondary,no,17,483,0,0
1409,49,admin,167,no,yes,cellular,jul,1,-1,other,married,secondary,no,9,51,0,0
3039,32,management,294,yes,no,cellular,apr,1,274,success,divorced,tertiary,no,17,1095,5,1
2059,35,admin,725,yes,no,cellular,nov,7,133,failure,married,secondary,no,20,219,1,0
