,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,default,day,duration,previous,Anomaly,Anomaly_Score,deposit
4575,51,housemaid,108,no,no,unknown,jun,2,-1,unknown,married,primary,no,16,278,0,0,-0.05359004,0
6638,23,student,431,no,no,cellular,aug,2,-1,unknown,single,secondary,no,13,496,0,0,-0.07927327,1
815,26,admin,2469,no,no,cellular,jul,8,-1,unknown,married,secondary,no,16,136,0,0,-0.09110188,0
5638,30,management,-27,yes,no,unknown,may,2,-1,unknown,married,tertiary,no,27,29,0,0,-0.07969582,0
4249,19,student,55,no,no,telephone,oct,2,193,other,single,secondary,no,6,89,1,1,0.026667647,0
950,30,technician,635,no,no,cellular,aug,8,-1,unknown,single,tertiary,no,13,851,0,0,-0.08702827,1
6586,53,services,8918,yes,no,telephone,jul,2,-1,unknown,married,primary,no,23,173,0,0,-0.018067077,0
4780,56,management,2333,no,no,cellular,may,1,-1,unknown,married,tertiary,no,4,244,0,0,-0.09849867,1
3860,40,technician,0,yes,yes,cellular,jul,2,172,failure,married,secondary,no,26,105,1,0,-0.017055605,0
5801,34,blue-collar,129,yes,yes,cellular,nov,1,200,success,single,unknown,no,16,295,2,1,0.009454618,1
2634,23,services,279,yes,no,cellular,may,1,370,failure,single,secondary,no,18,843,1,0,-0.029857554,1
4450,24,student,597,yes,no,cellular,apr,3,-1,unknown,single,secondary,no,20,943,0,0,-0.0667935,1
1431,62,retired,1084,no,no,cellular,apr,1,-1,unknown,married,primary,no,14,505,0,0,-0.07857356,1
7409,34,services,1337,no,no,cellular,dec,2,127,success,married,secondary,no,17,330,3,0,-0.050429177,1
5490,30,technician,194,no,yes,cellular,aug,3,-1,unknown,single,secondary,no,27,60,0,0,-0.05276983,0
1362,30,technician,151,no,no,cellular,feb,2,-1,unknown,single,secondary,no,3,276,0,0,-0.076539256,0
1684,49,housemaid,889,no,no,telephone,jul,1,-1,unknown,married,primary,no,7,388,0,0,-0.039136555,1
4894,39,blue-collar,0,yes,no,unknown,may,1,-1,unknown,married,secondary,no,6,262,0,0,-0.102259785,0
7690,55,technician,1199,no,yes,telephone,may,10,-1,unknown,single,secondary,no,4,159,0,0,-0.015507773,0
7181,41,blue-collar,3851,no,no,cellular,nov,1,-1,unknown,single,secondary,no,19,130,0,0,-0.08929741,0
5131,36,services,297,yes,yes,cellular,jul,5,-1,unknown,married,secondary,no,15,157,0,0,-0.069616474,0
3404,27,services,246,no,no,cellular,jun,2,-1,unknown,single,secondary,no,17,453,0,0,-0.07877218,1
7720,42,services,774,no,no,cellular,jan,1,-1,unknown,married,secondary,no,28,997,0,0,-0.07657565,1
3555,49,blue-collar,4830,yes,no,unknown,jun,1,-1,unknown,married,primary,no,6,350,0,0,-0.0700313,0
7285,46,blue-collar,-388,yes,yes,cellular,jul,1,-1,unknown,married,primary,no,10,207,0,0,-0.050430395,0
7566,31,admin,50,no,no,cellular,jan,1,-1,unknown,single,secondary,no,29,395,0,0,-0.07264512,0
4460,36,blue-collar,928,no,no,cellular,apr,3,-1,unknown,married,secondary,no,17,224,0,0,-0.09810185,0
5877,37,technician,3068,yes,yes,cellular,nov,2,195,other,divorced,secondary,no,20,370,1,1,0.041349996,1
7217,34,blue-collar,1454,yes,no,cellular,feb,2,297,failure,married,secondary,no,11,231,2,0,-0.052525796,1
28,49,technician,1684,no,yes,cellular,jun,2,-1,unknown,married,secondary,no,1,412,0,0,-0.064129665,1
3751,73,retired,934,no,no,cellular,sep,5,-1,unknown,married,primary,no,14,961,0,0,-0.039562836,1
618,59,unemployed,957,no,no,cellular,mar,1,89,success,married,secondary,no,8,301,2,0,-0.039034035,1
4939,46,technician,966,yes,yes,cellular,aug,2,-1,unknown,married,secondary,no,19,40,0,0,-0.06686747,0
2100,49,admin,7426,no,no,telephone,nov,2,-1,unknown,single,secondary,no,20,65,0,0,-0.048438396,0
2363,36,blue-collar,679,yes,yes,cellular,may,1,-1,unknown,married,primary,no,13,115,0,0,-0.068945415,0
79,34,blue-collar,157,yes,no,cellular,jul,2,-1,unknown,married,secondary,no,11,254,0,0,-0.10201952,0
2022,20,student,6991,no,no,cellular,aug,2,-1,unknown,single,primary,no,12,178,0,0,-0.04345252,1
3721,30,management,552,yes,no,cellular,aug,2,-1,unknown,single,tertiary,no,5,648,0,0,-0.0899267,0
6141,30,blue-collar,-390,yes,no,cellular,may,1,-1,unknown,single,secondary,no,5,275,0,0,-0.09792416,0
2257,78,retired,229,no,no,telephone,oct,1,-1,unknown,divorced,primary,no,22,97,0,1,0.0029263457,1
5391,51,retired,746,no,no,cellular,aug,5,-1,unknown,married,tertiary,no,25,372,0,0,-0.088126354,1
2867,66,retired,780,no,no,cellular,feb,4,-1,unknown,married,secondary,no,12,388,0,0,-0.08012212,0
975,39,technician,1270,yes,no,unknown,may,4,-1,unknown,divorced,secondary,no,29,245,0,0,-0.052152377,0
5572,23,services,488,no,no,cellular,mar,1,92,other,single,secondary,no,30,236,2,0,-0.015899999,1
5725,51,retired,1679,no,no,cellular,aug,1,365,other,divorced,secondary,no,12,417,9,1,0.02666744,1
2474,39,admin,607,yes,no,cellular,may,2,364,failure,married,secondary,no,12,454,3,0,-0.05530722,1
3559,31,management,518,yes,no,cellular,may,1,-1,unknown,single,tertiary,no,18,399,0,0,-0.100459166,0
2565,53,blue-collar,4401,no,no,telephone,nov,1,92,success,divorced,primary,no,11,241,1,1,0.012876168,1
5536,46,services,437,yes,no,cellular,may,3,-1,unknown,married,primary,no,13,546,0,0,-0.0753218,1
348,43,unemployed,983,yes,no,cellular,feb,1,-1,unknown,single,tertiary,no,26,97,0,0,-0.060372334,1
1487,58,unemployed,687,yes,no,cellular,apr,2,-1,unknown,married,secondary,no,30,341,0,0,-0.060721945,1
7606,28,management,223,yes,no,telephone,aug,2,119,other,single,tertiary,no,27,157,1,0,-0.016392427,1
2449,56,management,7747,no,no,unknown,jun,2,-1,unknown,married,primary,no,5,103,0,0,-0.054344825,0
2550,28,student,1925,no,no,cellular,nov,1,97,failure,single,secondary,no,25,487,2,0,-0.034354605,1
5241,37,management,658,yes,no,cellular,may,1,-1,unknown,married,tertiary,no,5,838,0,0,-0.09641499,1
2282,37,management,240,no,no,unknown,jun,1,-1,unknown,single,tertiary,no,5,1123,0,0,-0.064367466,1
2674,57,retired,9367,no,no,cellular,may,4,92,success,married,primary,no,14,700,7,0,-0.015880167,1
3268,61,admin,1046,yes,no,cellular,aug,1,-1,unknown,married,secondary,no,21,158,0,0,-0.09139106,1
946,33,management,1778,no,no,cellular,may,1,103,success,married,tertiary,no,26,134,1,0,-0.06351801,0
7793,50,blue-collar,4108,yes,no,cellular,aug,2,-1,unknown,married,primary,no,7,526,0,0,-0.08349411,1
1386,81,retired,949,no,no,cellular,sep,2,280,other,divorced,primary,no,27,188,1,1,0.041312054,1
1549,70,retired,0,no,no,cellular,sep,1,-1,unknown,divorced,secondary,no,8,206,0,0,-0.02196227,1
332,41,entrepreneur,707,no,no,unknown,jun,1,-1,unknown,married,secondary,no,18,707,0,0,-0.049498226,1
2928,26,management,943,no,no,cellular,nov,1,195,success,single,tertiary,no,11,166,1,0,-0.042421877,1
1335,54,management,3473,yes,no,cellular,aug,2,-1,unknown,divorced,tertiary,no,12,306,0,0,-0.060910184,0
2216,66,retired,1948,no,no,cellular,jan,1,91,success,married,tertiary,no,28,216,4,0,-0.033025917,1
428,64,retired,4833,no,no,cellular,oct,1,181,failure,divorced,secondary,no,20,621,3,1,0.0058008293,1
5719,50,services,1321,no,no,unknown,jun,2,-1,unknown,married,secondary,no,17,271,0,0,-0.07946475,0
5712,55,technician,3899,yes,no,telephone,jul,4,-1,unknown,married,secondary,no,28,596,0,0,-0.054142635,1
3029,28,blue-collar,-197,yes,no,unknown,may,2,-1,unknown,single,secondary,no,9,2016,0,0,-0.0695381,1
4931,43,services,774,no,no,cellular,mar,1,421,success,married,secondary,no,25,101,1,0,-0.030416064,1
614,49,blue-collar,-157,yes,no,cellular,jul,3,-1,unknown,married,primary,no,7,491,0,0,-0.077505,1
3230,44,blue-collar,1397,no,no,cellular,nov,1,-1,unknown,married,secondary,no,20,326,0,0,-0.10356876,0
1844,34,management,271,yes,no,cellular,feb,1,94,success,married,tertiary,no,15,308,4,0,-0.06540603,1
373,27,management,2071,no,no,cellular,jun,1,-1,unknown,married,secondary,no,4,449,0,0,-0.10602296,1
7310,60,retired,18967,yes,no,cellular,jan,2,-1,unknown,married,secondary,no,29,177,0,0,-0.053161886,1
4087,36,admin,115,no,no,cellular,may,3,91,failure,single,secondary,no,4,134,1,0,-0.058453575,0
