,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,Anomaly,Anomaly_Score,deposit
605,55,management,0,no,no,cellular,nov,3,187,failure,0,-0.02562214,0
5032,36,management,7606,yes,no,unknown,may,1,-1,unknown,0,-0.06323736,1
2941,54,admin,1872,no,no,cellular,feb,5,-1,unknown,0,-0.09563323,1
3829,35,admin,777,no,yes,cellular,may,1,-1,unknown,0,-0.076220796,0
3390,34,blue-collar,-1,yes,no,cellular,may,6,355,other,0,-0.009914637,1
7586,31,admin,-302,yes,yes,unknown,may,5,-1,unknown,0,-0.048202805,0
2061,42,retired,0,yes,no,unknown,may,2,-1,unknown,0,-0.07413414,0
6218,47,management,0,no,no,cellular,aug,2,-1,unknown,0,-0.10678368,0
3420,53,blue-collar,252,no,no,cellular,jul,4,-1,unknown,0,-0.08612367,1
6233,28,admin,-504,yes,yes,cellular,may,1,-1,unknown,0,-0.0647252,1
5152,64,housemaid,2645,no,no,telephone,feb,2,-1,unknown,0,-0.036066227,1
7517,46,management,244,yes,no,unknown,may,1,-1,unknown,0,-0.08677591,0
7366,56,retired,13094,no,no,cellular,may,1,-1,unknown,0,-0.08479967,1
2906,38,technician,11,no,no,unknown,jun,3,-1,unknown,0,-0.073296495,0
7649,48,admin,3756,no,no,cellular,aug,10,-1,unknown,0,-0.0741471,0
4594,46,technician,4176,yes,no,unknown,jun,6,-1,unknown,0,-0.044890475,0
2893,27,admin,1595,no,no,cellular,dec,2,197,success,0,-0.01954304,1
288,35,blue-collar,1792,yes,no,cellular,jul,6,-1,unknown,0,-0.06886581,1
5042,40,admin,4775,no,no,cellular,sep,1,-1,unknown,0,-0.07285652,1
4665,33,management,2885,no,no,cellular,aug,2,-1,unknown,0,-0.102996804,1
441,22,student,2162,no,no,telephone,feb,1,-1,unknown,0,-0.018859897,0
4355,57,blue-collar,2112,no,no,cellular,aug,2,-1,unknown,0,-0.08404704,1
6913,57,technician,254,no,no,cellular,oct,1,-1,unknown,0,-0.06926884,1
